address,city,zip,property_type,sold_date,price,sqft,sqft_imputed,price_per_sqft,beds,baths,year_built,lot_size,days_on_market,lat,lon,url
3406 Hawthorne Blvd,Saint Louis,63104.0,Single Family Residential,May-12-2022,950000,7215.0,False,131.67013167013167,5.0,5.0,1895.0,17642.0,,38.6101689,-90.2362898,https://www.redfin.com/MO/Saint-Louis/3406-Hawthorne-Blvd-63104/home/93691070
5257 Lindell Blvd,Saint Louis,63108.0,Single Family Residential,April-8-2026,1699000,7223.0,False,235.22082237297522,5.0,5.0,1918.0,20599.0,,38.6451936,-90.2729065,https://www.redfin.com/MO/Saint-Louis/5257-Lindell-Blvd-63108/home/93745458
1304 S 18th St,Saint Louis,63104.0,Single Family Residential,March-3-2025,1650000,7133.0,False,231.31922052432355,4.0,5.0,1900.0,6390.0,,38.6174976,-90.2106735,https://www.redfin.com/MO/Saint-Louis/1304-S-18th-St-63104/home/93685995
5211 Westminster Pl,Saint Louis,63108.0,Single Family Residential,August-30-2023,799900,5500.0,False,145.43636363636364,5.0,5.0,1905.0,7227.0,,38.6503702,-90.2705051,https://www.redfin.com/MO/Saint-Louis/5211-Westminster-Pl-63108/home/62725740
38 Kingsbury Pl,Saint Louis,63112.0,Single Family Residential,August-1-2023,1399000,7256.0,False,192.80595369349504,5.0,5.0,1908.0,13443.0,,38.6504296,-90.2795815,https://www.redfin.com/MO/Saint-Louis/38-Kingsbury-Pl-63112/home/62749213
43 Portland Pl,Saint Louis,63108.0,Single Family Residential,April-29-2022,1899900,7465.0,False,254.50770261219023,7.0,5.0,1911.0,20299.0,,38.6480402,-90.2720914,https://www.redfin.com/MO/Saint-Louis/43-Portland-Pl-63108/home/93745534
1611 Missouri Ave,Saint Louis,63104.0,Single Family Residential,March-29-2024,450000,5091.0,False,88.39127872716558,5.0,5.0,1886.0,5097.0,,38.6154449,-90.2188026,https://www.redfin.com/MO/Saint-Louis/1611-Missouri-Ave-63104/home/93700584
11 Washington Ter,Saint Louis,63112.0,Single Family Residential,February-25-2025,850000,7265.0,False,116.9993117687543,8.0,5.0,1905.0,19502.0,,38.6521104,-90.2756696,https://www.redfin.com/MO/Saint-Louis/11-Washington-Ter-63112/home/93766103
5959 W Cabanne Pl,Saint Louis,63112.0,Single Family Residential,March-27-2023,200000,3266.0,False,61.2369871402327,6.0,5.0,1903.0,16880.0,,38.6597537,-90.2919688,https://www.redfin.com/MO/Saint-Louis/5959-W-Cabanne-Pl-63112/home/93728625
15 Thornby,Saint Louis,63112.0,Single Family Residential,April-28-2022,474900,2764.0,False,171.81620839363242,4.0,5.0,1900.0,14113.0,,38.6619747,-90.2872213,https://www.redfin.com/MO/Saint-Louis/15-Thornby-Pl-63112/home/93723567
