url,police_district,patrol,violent_crime_ytd,total_crime_ytd,violent_crime_rate,total_crime_rate
https://www.redfin.com/MO/Saint-Louis/6145-Lindell-Blvd-63112/home/93763512,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/4220-Botanical-Ave-63110/home/78372176,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/2822-Victor-St-63104/home/93699935,4,Central,349,1016,6.017241379310345,17.517241379310345
https://www.redfin.com/MO/Saint-Louis/5103-Waterman-Blvd-63108/home/93745953,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/2107-Park-Ave-63104/home/93701253,4,Central,349,1016,6.017241379310345,17.517241379310345
https://www.redfin.com/MO/Saint-Louis/3630-Flad-Ave-63110/home/93700186,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/2112-S-11th-St-63104/home/62775653,4,Central,349,1016,6.017241379310345,17.517241379310345
https://www.redfin.com/MO/Saint-Louis/5225-Lindell-Blvd-63108/home/93745428,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/4251-Connecticut-St-63116/home/93729851,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/3964-Arsenal-St-63116/home/93749655,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/5277-Lindell-Blvd-63108/home/93745464,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/5501-Cates-Ave-63112/home/143291150,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/2241-Hickory-St-63104/home/181866125,4,Central,349,1016,6.017241379310345,17.517241379310345
https://www.redfin.com/MO/Saint-Louis/2305-Saint-Louis-Ave-63106/home/62766774,4,Central,349,1016,6.017241379310345,17.517241379310345
https://www.redfin.com/MO/Saint-Louis/8-Hortense-Pl-63108/home/93724401,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/4101-W-Pine-Blvd-63108/unit-4/home/169424934,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/3023-Bailey-Ave-63107/home/93698431,4,Central,349,1016,6.017241379310345,17.517241379310345
https://www.redfin.com/MO/Saint-Louis/4506-Pershing-Pl-63108/home/93724627,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/3801-Hartford-St-63116/home/93728270,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/1000-Russell-Blvd-63104/home/93686257,4,Central,349,1016,6.017241379310345,17.517241379310345
https://www.redfin.com/MO/Saint-Louis/4552-Westminster-Pl-63108/home/93739869,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/11-Lenox-Pl-63108/home/93754474,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/3-Beverly-Pl-63112/home/93753998,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/6966-Sutherland-Ave-63109/home/93774076,1,South,197,781,3.7884615384615383,15.019230769230768
https://www.redfin.com/MO/Saint-Louis/46-Kingsbury-Pl-63112/home/62768129,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/5280-Westminster-Pl-63108/home/93745880,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/1833-S-8th-St-63104/home/93685148,4,Central,349,1016,6.017241379310345,17.517241379310345
https://www.redfin.com/MO/Saint-Louis/1401-Missouri-Ave-63104/home/93700547,4,Central,349,1016,6.017241379310345,17.517241379310345
https://www.redfin.com/MO/Saint-Louis/4350-McPherson-Ave-63108/home/93725552,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/1424-Mississippi-Ave-63104/home/93697505,4,Central,349,1016,6.017241379310345,17.517241379310345
https://www.redfin.com/MO/Saint-Louis/4616-McPherson-Ave-63108/home/65207091,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/3614-California-Ave-63118/home/93696248,1,South,197,781,3.7884615384615383,15.019230769230768
https://www.redfin.com/MO/Saint-Louis/4318-Laclede-Ave-63108/home/93725206,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/3801-Utah-Pl-63116/home/93682376,1,South,197,781,3.7884615384615383,15.019230769230768
https://www.redfin.com/MO/St-Louis/3209-Shenandoah-Ave-63104/home/198866717,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/4254-Arsenal-St-63116/home/93750753,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/2712-S-Compton-Ave-63118/home/93692010,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/5105-Cabanne-Ave-63113/home/93752273,3,Central,216,761,3.9272727272727272,13.836363636363636
