url,dist_nearest_school_m,schools_1km
https://www.redfin.com/MO/Saint-Louis/4101-W-Pine-Blvd-63108/unit-4/home/169424934,354.24080138246643,5
https://www.redfin.com/MO/Saint-Louis/3023-Bailey-Ave-63107/home/93698431,1020.5935173360594,0
https://www.redfin.com/MO/Saint-Louis/4506-Pershing-Pl-63108/home/93724627,382.9788685741023,5
https://www.redfin.com/MO/Saint-Louis/3801-Hartford-St-63116/home/93728270,827.6544415904102,2
https://www.redfin.com/MO/Saint-Louis/1000-Russell-Blvd-63104/home/93686257,767.5125963213926,1
https://www.redfin.com/MO/Saint-Louis/4552-Westminster-Pl-63108/home/93739869,333.37021749787624,4
https://www.redfin.com/MO/Saint-Louis/11-Lenox-Pl-63108/home/93754474,572.1710145348536,4
https://www.redfin.com/MO/Saint-Louis/3-Beverly-Pl-63112/home/93753998,589.7336969229755,4
https://www.redfin.com/MO/Saint-Louis/6966-Sutherland-Ave-63109/home/93774076,1032.2925408778442,0
https://www.redfin.com/MO/Saint-Louis/46-Kingsbury-Pl-63112/home/62768129,457.0700264920838,1
https://www.redfin.com/MO/Saint-Louis/5280-Westminster-Pl-63108/home/93745880,242.24351016149288,2
https://www.redfin.com/MO/Saint-Louis/1833-S-8th-St-63104/home/93685148,1126.4653373189026,0
https://www.redfin.com/MO/Saint-Louis/1401-Missouri-Ave-63104/home/93700547,757.6215196548806,2
https://www.redfin.com/MO/Saint-Louis/4350-McPherson-Ave-63108/home/93725552,302.5238857333215,3
https://www.redfin.com/MO/Saint-Louis/1424-Mississippi-Ave-63104/home/93697505,447.3147846180648,5
https://www.redfin.com/MO/Saint-Louis/4616-McPherson-Ave-63108/home/65207091,501.46401405805324,4
https://www.redfin.com/MO/Saint-Louis/3614-California-Ave-63118/home/93696248,451.10031510152623,2
https://www.redfin.com/MO/Saint-Louis/4318-Laclede-Ave-63108/home/93725206,398.99351213774105,6
https://www.redfin.com/MO/Saint-Louis/3801-Utah-Pl-63116/home/93682376,1026.4408600924291,0
https://www.redfin.com/MO/St-Louis/3209-Shenandoah-Ave-63104/home/198866717,291.49523358887694,1
https://www.redfin.com/MO/Saint-Louis/4254-Arsenal-St-63116/home/93750753,675.5237634208224,3
https://www.redfin.com/MO/Saint-Louis/2712-S-Compton-Ave-63118/home/93692010,515.0923604833118,3
https://www.redfin.com/MO/Saint-Louis/5105-Cabanne-Ave-63113/home/93752273,722.9958894840386,2
https://www.redfin.com/MO/Saint-Louis/2319-Whittemore-Pl-63104/home/93700522,635.8422848904754,5
https://www.redfin.com/MO/Saint-Louis/2625-Ohio-Ave-63118/home/178428436,86.77076490321647,4
https://www.redfin.com/MO/Saint-Louis/5245-Washington-Pl-63108/home/93749456,331.092951433723,2
https://www.redfin.com/MO/Saint-Louis/3524-Victor-St-63104/home/93692412,312.09569052412417,2
https://www.redfin.com/MO/Saint-Louis/2317-Park-Ave-63104/home/93701057,746.8161525485033,2
https://www.redfin.com/MO/St-Louis/2147-College-Ave-63107/home/194354353,586.183454999848,2
https://www.redfin.com/MO/Saint-Louis/4467-McPherson-Ave-63108/home/93740227,300.3543620864506,4
https://www.redfin.com/MO/Saint-Louis/30-Portland-Pl-63108/home/93745960,355.0612921361834,1
https://www.redfin.com/MO/Saint-Louis/32-Washington-Ter-63112/home/93763739,532.7343258562296,3
https://www.redfin.com/MO/Saint-Louis/2912-Iowa-Ave-63118/home/143288513,518.3354895314981,1
https://www.redfin.com/MO/Saint-Louis/4448-Maryland-Ave-63108/home/62754057,183.6947541603923,4
https://www.redfin.com/MO/Saint-Louis/3536-Victor-St-63104/home/93692413,358.7406215503251,2
https://www.redfin.com/MO/Saint-Louis/3859-Flora-Pl-63110/home/109920094,391.748008826058,4
https://www.redfin.com/MO/Saint-Louis/4312-Washington-Blvd-63108/home/93683779,622.6240901955539,6
https://www.redfin.com/MO/Saint-Louis/5231-Westminster-Pl-63108/home/62725318,173.04672547142363,2
https://www.redfin.com/MO/Saint-Louis/5901-Highfield-Rd-63109/home/93782887,645.7692241201418,2
https://www.redfin.com/MO/Saint-Louis/3634-Flad-Ave-63110/home/93700189,555.7203963617515,4
https://www.redfin.com/MO/Saint-Louis/4167-Enright-Ave-63108/home/93745176,361.774729422082,4
https://www.redfin.com/MO/Saint-Louis/2118-Lafayette-Ave-63104/home/62739077,415.9634656526679,6
https://www.redfin.com/MO/Saint-Louis/4550-Pershing-Pl-63108/home/93724616,549.3243369278861,5
